MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
The Wild Bunch, William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien,Action, Adventure, Drama,12.06,R ,"87,674"
The Raid 2, Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara,Action, Crime, Thriller,2.63,R ,"1,27,564"
Hero, Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang,Action, Adventure, Drama,53.71,PG-13 ,"1,84,696"
The Adventures of Robin Hood, Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains,Action, Adventure, Romance,3.98,PG ,"52,967"
A Taxi Driver, Song Kang-ho, Thomas Kretschmann, Hae-Jin Yoo, Ryu Jun-Yeol,Action, Drama, History,1.53,Not Rated ,"27,703"
Baby, Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu,Action, Crime, Thriller,Nan,Not Rated ,"58,904"
Vishwaroopam, Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose,Action, Thriller,Nan,Nan,Not Rated ,"40,588"
Airlift, Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi,Action, Drama, History,Nan,Not Rated ,"57,911"
The Batman, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell,Action, Crime, Drama,369.35,PG-13 ,"7,06,515"
Everything Everywhere All at Once, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan,Action, Adventure, Comedy,72.86,R ,"4,57,775"
The Gentlemen, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong,Action, Comedy, Crime,36.47,R ,"3,63,025"
Drive, Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks,Action, Drama,Nan,35.06,R ,"6,67,781"
Hot Fuzz, Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy,Action, Comedy, Mystery,23.64,R ,"5,18,991"
All Quiet on the Western Front, Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus,Action, Drama, War,Nan,R ,"2,10,204"
